5,10,4,20190823144006
5,1,4,20190823144013
5,6,4,20190823144016
5,105,2,20190823144024
5,101,5,20190823144028
5,103,5,20190823144033
5,106,4,20190823144039
5,104,4,20190823144043
5,102,3,20190823144049
5,107,0,20190823144057
5,6,5,20190823144719
5,10,5,20190823144721
5,1,5,20190823144722
5,103,5,20190823144726
5,106,3,20190823144733
5,104,5,20190823144738
5,107,4,20190823144749
5,105,2,20190823144754
5,101,5,20190823144757
5,102,0,20190823144759
5,1,5,20190823145248
5,6,4,20190823145252
5,10,4,20190823145304
5,101,5,20190823145306
5,103,5,20190823145311
5,107,4,20190823145316
5,102,4,20190823145320
5,104,5,20190823145323
5,106,4,20190823145331
5,105,0,20190823145339
5,10,4,20190823150210
5,1,4,20190823150215
5,6,4,20190823150219
5,105,4,20190823150220
5,102,5,20190823150223
5,106,2,20190823150227
5,107,3,20190823150230
5,103,4,20190823150232
5,104,4,20190823150234
5,101,0,20190823150239
5,1,5,20190823150350
5,6,4,20190823150355
5,10,4,20190823150359
5,102,5,20190823150403
5,104,4,20190823150408
5,101,4,20190823150411
5,107,2,20190823150415
5,106,2,20190823150418
5,103,4,20190823150421
5,105,0,20190823150428
5,10,4,20190823150521
5,1,4,20190823150524
5,6,4,20190823150526
5,107,4,20190823150529
5,103,4,20190823150533
5,105,2,20190823150536
5,106,4,20190823150541
5,102,5,20190823150544
5,104,4,20190823150548
5,101,0,20190823150554
12,6,4,20190823153827
12,1,3,20190823153841
12,10,4,20190823153847
12,104,4,20190823153854
12,103,4,20190823153910
12,106,5,20190823153917
12,105,4,20190823153927
12,107,4,20190823153934
12,101,5,20190823153941
12,102,0,20190823153949
12,1,4,20190823154528
12,6,4,20190823154534
12,10,4,20190823154540
12,102,4,20190823154641
12,103,4,20190823154647
12,105,3,20190823154651
12,104,4,20190823154657
12,106,5,20190823154703
12,107,4,20190823154710
12,101,0,20190823154719
12,10,5,20190823155110
12,1,4,20190823155115
12,6,5,20190823155120
12,106,5,20190823155127
12,101,4,20190823155131
12,103,5,20190823155140
12,107,5,20190823155149
12,104,4,20190823155154
12,105,4,20190823155200
12,102,0,20190823155212
12,1,4,20190823155925
12,10,4,20190823155931
12,6,5,20190823155937
12,101,5,20190823155943
12,106,5,20190823155949
12,104,4,20190823155954
12,103,5,20190823160003
12,102,5,20190823160008
12,107,4,20190823160013
12,105,0,20190823160022
12,10,4,20190823160124
12,1,4,20190823160131
12,6,4,20190823160137
12,107,3,20190823160143
12,102,3,20190823160149
12,103,4,20190823160156
12,105,4,20190823160203
12,104,5,20190823160212
12,101,5,20190823160218
12,106,0,20190823160225
